Have you reserved seats?	您 定做 了 吗?	nín dìng zuò le ma	[sound:PM3-U08-240.mp3]	[sound:PM3-U08-241.mp3]	3	8	12m42s
You have to reserve seats.	您 得 定做｡	nín de dìng zuò	[sound:PM3-U08-248.mp3]	[sound:PM3-U08-249.mp3]	3	8	13m08s
Where's a good place for us to go?	我们 去 哪儿 好?	wǒ men qù nǎ r5 hǎo	[sound:PM3-U08-254.mp3]	[sound:PM3-U08-255.mp3]	3	8	13m29s
How about Sanya?	三亚 怎么样?	sān yà zěn me yàng	[sound:PM3-U08-257_PM3-U08-258.mp3]	[sound:PM3-U08-261.mp3]	3	8	13m43s
It's too far away.	太 远 了｡	tài yuǎn le	[sound:PM3-U08-276.mp3]	[sound:PM3-U08-277.mp3]	3	8	14m23s
By plane it's not far.	坐飞机 不 圆｡	zuò fēi jī bù yuán	[sound:PM3-U08-288.mp3]	[sound:PM3-U08-289.mp3]	3	8	15m03s
Sanya is a very beautiful place.	三亚 是一个 很 美 的 地方｡	sān yà shì yī gè hěn měi de dì fang	[sound:PM3-U08-292_PM3-U08-293.mp3]	[sound:PM3-U08-294.mp3]	3	8	15m22s
There are beaches.	有 海滩｡	yǒu hǎi tān	[sound:PM3-U08-295.mp3]	[sound:PM3-U08-313.mp3]	3	8	16m11s
There are many beaches.	有很多 海滩｡	yǒu hěn duō hǎi tān	[sound:PM3-U08-315.mp3]	[sound:PM3-U08-316.mp3]	3	8	16m22s
In Sanya there are very many beaches.	三亚 有很多 海滩｡	sān yà yǒu hěn duō hǎi tān	[sound:PM3-U08-319_PM3-U08-320_PM3-U08-321.mp3]	[sound:PM3-U08-322.mp3]	3	8	16m43s
I want to make a hotel reservation.	我要 订 酒店｡	wǒ yào dìng jiǔ diàn	[sound:PM3-U08-334.mp3]	[sound:PM3-U08-336.mp3]	3	8	17m26s
I'd like to reserve a room.	我想 定 一个 房间｡	wǒ xiǎng dìng yī gè fáng jiān	[sound:PM3-U08-337.mp3]	[sound:PM3-U08-339.mp3]	3	8	17m35s
I have a credit card.	我有 信用卡｡	wǒ yǒu xìn yòng kǎ	[sound:PM3-U08-370.mp3]	[sound:PM3-U08-372.mp3]	3	8	19m20s
Can I use a credit card?	可以用 信用卡 吗?	kě yǐ yòng xìn yòng kǎ ma	[sound:PM3-U08-377.mp3]	[sound:PM3-U08-379.mp3]	3	8	19m46s
Use a credit card.	用 信用卡｡	yòng xìn yòng kǎ	[sound:PM3-U08-390.mp3]	[sound:PM3-U08-391.mp3]	3	8	20m27s
Their Peking duck is very delicious.	他们的 北京烤鸭 很好 吃｡	tā men de běi jīng kǎo yā hěn hǎo chī	[sound:PM3-U08-411.mp3]	[sound:PM3-U08-412.mp3]	3	8	21m49s
Next month I'm going to take a trip.	下个月 我要 去 旅行｡	xià gè yuè wǒ yào qù lǚ xíng	[sound:PM3-U08-424_PM3-U08-425.mp3]	[sound:PM3-U08-426_PM3-U08-427.mp3]	3	8	22m45s
Did you make a hotel reservation?	您 订 酒店 了 吗?	nín dìng jiǔ diàn le ma	[sound:PM3-U08-430.mp3]	[sound:PM3-U08-431.mp3]	3	8	23m02s
I haven't made a hotel reservation yet.	我 还没有｡	wǒ hái méi yǒu	[sound:PM3-U08-436.mp3]	[sound:PM3-U08-437.mp3]	3	8	23m28s
I have to reserve a room.	我 得 定 一个 房间｡	wǒ de dìng yī gè fáng jiān	[sound:PM3-U08-440.mp3]	[sound:PM3-U08-441.mp3]	3	8	23m43s
I went to Sanya last year.	我 去年 去 三亚 了｡	wǒ qù nián qù sān yà le	[sound:PM3-U08-458_PM3-U08-459_PM3-U08-460.mp3]	[sound:PM3-U08-461.mp3]	3	8	24m52s
I stayed at a hotel.	我 住在 一个 酒店 订 了｡	wǒ zhù zài yī gè jiǔ diàn dìng le	[sound:PM3-U08-464.mp3]	[sound:PM3-U08-465.mp3]	3	8	25m12s
Beside the hotel.	酒店 的 旁边｡	jiǔ diàn de páng biān	[sound:PM3-U08-468.mp3]	[sound:PM3-U08-469.mp3]	3	8	25m30s
Beside the hotel there is a very beautiful beach.	酒店 的 旁边 有一个 很 美 的 海滩｡	jiǔ diàn de páng biān yǒu yī gè hěn měi de hǎi tān	[sound:PM3-U08-472.mp3]	[sound:PM3-U08-473.mp3]	3	8	25m56s
Was the hotel expensive?	酒店 贵 吗?	jiǔ diàn guì ma	[sound:PM3-U08-476.mp3]	[sound:PM3-U08-477.mp3]	3	8	26m16s
No it wasn't very expensive.	不贵 不是 很 贵｡	bù guì bù shi hěn guì	[sound:PM3-U08-481.mp3]	[sound:PM3-U08-482_PM3-U08-483.mp3]	3	8	26m34s
Can I use a credit card?	可以用 信用卡 吗?	kě yǐ yòng xìn yòng kǎ ma	[sound:PM3-U08-491.mp3]	[sound:PM3-U08-492.mp3]	3	8	27m06s
Yes, you can use a credit card.	可以 可以 用 信用卡｡	kě yǐ kě yǐ yòng xìn yòng kǎ	[sound:PM3-U08-499.mp3]	[sound:PM3-U08-500_PM3-U08-501.mp3]	3	8	27m39s
Over there there are many beaches.	那儿 有很多 海滩｡	nà r5 yǒu hěn duō hǎi tān	[sound:PM3-U08-511.mp3]	[sound:PM3-U08-512.mp3]	3	8	28m23s
Are there beaches by the hotel?	酒店 的 旁边 有 海滩 吗?	jiǔ diàn de páng biān yǒu hǎi tān ma	[sound:PM3-U08-532.mp3]	[sound:PM3-U08-533_PM3-U08-534.mp3]	3	8	29m41s
Yes, there are many beaches.	由 有很多 海滩｡	yóu yǒu hěn duō hǎi tān	[sound:PM3-U08-535.mp3]	[sound:PM3-U08-536_PM3-U08-537.mp3]	3	8	29m53s
